InChIKey,Kingdom,SuperClass,Class,SubClass,Level5,Level6,Level7
VQHXMQYHVVQQFP-CXWHQSFFSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
OMISYDASOKPVDK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
ATYNVCXMADLPJQ-YSVLGHOVSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
NPIMUIQBYBJSBB-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
ZNXXWTPQHVLMQT-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Catechols,NA,NA
RALBOGKBFZBDKY-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenol ethers,NA,NA,NA,NA
YAXFVDUJDAQPTJ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
OTBJYBQGMPICIK-GHPVWUPISA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
WAXYAOJFDCCESK-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
WAKFBGOXOFLZLZ-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
RUSMDDXSDLDLKU-PHPHFFAHSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
OXASBXALVLRTKO-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA
DPRDYFJWDRNYAZ-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
GCIFEQYZDROELP-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
NGMVEYPQYAIGEI-UHFFFAOYSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
FYRRHCSCZYSADR-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
RDZNZFGKEVDNPK-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Hydroxypyrimidines,NA,NA
CWVRJTMFETXNAD-NXLLHMKUSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
RAGZUCNPTLULOL-LWOZFZEPSA-N,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives,Cyclitols and derivatives,Quinic acids and derivatives
DUUGKQCEGZLZNO-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,Indole-3-acetic acid derivatives,NA,NA
HBULKUDERNWOBN-UHFFFAOYSA-N,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
BLHLKJLSYHEOGY-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
BBGNINPPDHJETF-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
PUNOCEUUYUXUGR-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
GDJMJAKVVSGNLA-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
KVVSCMOUFCNCGX-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
OHTBGMREZYLZQD-UHFFFAOYSA-N,Organic compounds,Benzenoids,Phenols,Benzenediols,Resorcinols,NA,NA
XWCBQDPCEYHYRB-UHFFFAOYSA-N,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,N-arylamides,N-acetylarylamines,NA,NA
MKMCJLMBVKHUMS-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Benzoxazoles,Benzoxazolones,NA,NA,NA
YHNNPKUFPWLTOP-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
PFWLFWPASULGAN-UHFFFAOYSA-N,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthines,NA,NA
WBZFUFAFFUEMEI-UHFFFAOYSA-M,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,NA,NA,NA
RDHQFKQIGNGIED-MRVPVSSYSA-N,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Acyl carnitines,NA,NA
