Entity;Type;Superclass(es);BiomarkerOf;HasBiomarker;Contains;IsIngredientOf;FOBI_040232;FOBI_040233;FOBI_040235;FOBI_040236;FOBI_040237;FOBI_040238;FOBI_043480;IAO_0000118;FOBI_050000;FOBI_050001;FOBI_050002;FOBI_050003;dcterms:license;has_obo_format_version;id;rdfs:comment;label;
'3-(3-hydroxyphenyl)-3-hydroxypropionic acid';Class;'Phenylpropanoic acids';"''Whole grain cereal products''	''red wine''	''citrus fruit food product''	''vegetable food product''	''legume food product''	''nut (whole or part)''	''plant fruit food product''	''olive oil''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''";;;;"'93013'";"'HMDB02643'";;"'102959'";"'KHTAGVZHYUZYMF-UHFFFAOYSA-N'";"'InChI=1S/C9H10O4/c10-7-3-1-2-6(4-7)8(11)5-9(12)13/h1-4,8,10-11H,5H2,(H,12,13)'";"'FOBI:030431'";;;;;;;;"'FOBI:030431'";;"'3-(3-hydroxyphenyl)-3-hydroxypropionic acid'";
'pyrogallol 1-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''red wine''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''olive oil''	''coffee based beverage product''	''vegetable food product''";;;;;;;;"'QCVMOWDDTCUWLI-UHFFFAOYSA-N'";"'InChI=1S/C12H14O9/c13-4-2-1-3-5(6(4)14)20-12-9(17)7(15)8(16)10(21-12)11(18)19/h1-3,7-10,12-17H,(H,18,19)'";"'FOBI:030433'";;;;;;;;"'FOBI:030433'";;"'pyrogallol 1-glucuronide'";
'pyrogallol 2-glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''legume food product''	''plant fruit food product''	''red wine''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''vegetable food product''";;;;;;;"'122553541'";"'SOHXEAWMMVSJFL-COGRHJPHSA-N'";"'InChI=1S/C12H14O9/c13-4-2-1-3-5(14)9(4)20-12-8(17)6(15)7(16)10(21-12)11(18)19/h1-3,6-8,10,12-17H,(H,18,19)/t6-,7-,8+,10-,12+/m0/s1'";"'FOBI:030434'";;;;;;;;"'FOBI:030434'";;"'pyrogallol 2-glucuronide'";
'pyrogallol 1-sulfate';Class;Phenylsulfates;"''legume food product''	''nut (whole or part)''	''plant fruit food product''	''Whole grain cereal products''	''cacao food product''	''tea based beverage product''	''coffee based beverage product''	''olive oil''	''red wine''	''vegetable food product''";;;;;;;"'54110629'";"'NGVLEQPKHLWZLN-UHFFFAOYSA-N'";"'InChI=1S/C6H6O6S/c7-4-2-1-3-5(6(4)8)12-13(9,10)11/h1-3,7-8H,(H,9,10,11)'";"'FOBI:030435'";;;;;;;;"'FOBI:030435'";;"'pyrogallol 1-sulfate'";
'pyrogallol 2-sulfate';Class;Phenylsulfates;"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''olive oil''	''red wine''	''nut (whole or part)''	''legume food product''";;;;;;;;"'XADBYTWTQXSBAF-UHFFFAOYSA-N'";"'InChI=1S/C6H6O6S/c7-4-2-1-3-5(8)6(4)12-13(9,10)11/h1-3,7-8H,(H,9,10,11)'";"'FOBI:030436'";;;;;;;;"'FOBI:030436'";;"'pyrogallol 2-sulfate'";
1-methylpyrogallol;Class;Methoxyphenols;"''plant fruit food product''	''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''olive oil''	''red wine''	''legume food product''	''nut (whole or part)''";;;;;;;"'13622'";"'LPYUENQFPVNPHY-UHFFFAOYSA-N'";"'InChI=1S/C7H8O3/c1-10-6-4-2-3-5(8)7(6)9/h2-4,8-9H,1H3'";"'FOBI:030437'";;;;;;;;"'FOBI:030437'";;"'1-methylpyrogallol'";
2-methylpyrogallol;Class;Methoxyphenols;"''tea based beverage product''	''cacao food product''	''coffee based beverage product''	''Whole grain cereal products''	''vegetable food product''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''olive oil''	''red wine''";;;;;;;"'121805'";"'QFYYAIBEHOEZKC-UHFFFAOYSA-N'";"'InChI=1S/C7H8O3/c1-10-7-5(8)3-2-4-6(7)9/h2-4,8-9H,1H3'";"'FOBI:030438'";;;;;;;;"'FOBI:030438'";;"'2-methylpyrogallol'";
'catechol glucuronide';Class;'Phenolic glycosides';"''nut (whole or part)''	''vegetable food product''	''red wine''	''plant fruit food product''	''Whole grain cereal products''	''tea based beverage product''	''coffee based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;;;;"'75124209'";"'ICPYZFZFSLTYID-GOVZDWNOSA-N'";"'InChI=1S/C12H14O8/c13-5-3-1-2-4-6(5)19-12-9(16)7(14)8(15)10(20-12)11(17)18/h1-4,7-10,12-16H,(H,17,18)/t7-,8-,9+,10-,12+/m0/s1'";"'FOBI:030445'";;;;;;;;"'FOBI:030445'";;"'catechol glucuronide'";
'4-methylcatechol 1-glucuronide';Class;'Phenolic glycosides';"''plant fruit food product''	''legume food product''	''tea based beverage product''	''vegetable food product''	''coffee based beverage product''	''Whole grain cereal products''	''cacao food product''	''olive oil''	''red wine''	''nut (whole or part)''";;;;;;;;"'PLHZIQGSGAGOQO-PXSDQIBWSA-N'";"'InChI=1S/C13H16O8/c1-5-2-3-7(6(14)4-5)20-13-10(17)8(15)9(16)11(21-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)/t8-,9?,10?,11-,13+/m1/s1'";"'FOBI:030448'";;;;;;;;"'FOBI:030448'";;"'4-methylcatechol 1-glucuronide'";
'4-methylcatechol 2-glucuronide';Class;'Phenolic glycosides';"''legume food product''	''tea based beverage product''	''coffee based beverage product''	''vegetable food product''	''Whole grain cereal products''	''cacao food product''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''olive oil''";;;;;;;"'189501'";"'UQDOAPRFPPMAOO-XPORZQOISA-N'";"'InChI=1S/C13H16O8/c1-5-2-3-6(14)7(4-5)20-13-10(17)8(15)9(16)11(21-13)12(18)19/h2-4,8-11,13-17H,1H3,(H,18,19)/t8-,9-,10+,11-,13+/m0/s1'";"'FOBI:030449'";;;;;;;;"'FOBI:030449'";;"'4-methylcatechol 2-glucuronide'";
'4-methylcatechol 1-sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''	''legume food product''	''plant fruit food product''	''vegetable food product''";;;;;;;"'54104170'";"'NCOMUGOPQPRVSE-UHFFFAOYSA-N'";"'InChI=1S/C7H8O5S/c1-5-2-3-7(6(8)4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)'";"'FOBI:030450'";;;;;;;;"'FOBI:030450'";;"'4-methylcatechol 1-sulfate'";
'4-methylcatechol 2-sulfate';Class;Phenylsulfates;"''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''	''plant fruit food product''	''legume food product''	''vegetable food product''";;;;;;;;"'CMEBXVIUEVCAFK-UHFFFAOYSA-N'";"'InChI=1S/C7H8O5S/c1-5-2-3-6(8)7(4-5)12-13(9,10)11/h2-4,8H,1H3,(H,9,10,11)'";"'FOBI:030451'";;;;;;;;"'FOBI:030451'";;"'4-methylcatechol 2-sulfate'";
2,4,6-trihydroxybenzaldehyde;Class;'Acylphloroglucinols and derivatives';"''nut (whole or part)''	''vegetable food product''	''red wine''	''Whole grain cereal products''	''plant fruit food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''olive oil''	''legume food product''";;;;"'61408'";;;"'68099'";"'BTQAJGSMXCDDAJ-UHFFFAOYSA-N'";"'InChI=1S/C7H6O4/c8-3-5-6(10)1-4(9)2-7(5)11/h1-3,9-11H'";"'FOBI:030456'";;;;;;;;"'FOBI:030456'";;"'2,4,6-trihydroxybenzaldehyde'";
'vanillin glucuronide';Class;'Phenolic glycosides';"''legume food product''	''plant fruit food product''	''vegetable food product''	''coffee based beverage product''	''tea based beverage product''	''cacao food product''	''Whole grain cereal products''	''red wine''	''olive oil''	''nut (whole or part)''";;;;;;;;"'FHLOUKKMIKQAHL-BYNIDDHOSA-N'";"'InChI=1S/C14H16O9/c1-21-8-4-6(5-15)2-3-7(8)22-14-11(18)9(16)10(17)12(23-14)13(19)20/h2-5,9-12,14,16-18H,1H3,(H,19,20)/t9-,10-,11+,12-,14+/m0/s1'";"'FOBI:030458'";;;;;;;;"'FOBI:030458'";;"'vanillin glucuronide'";
'vanillin sulfate';Class;Phenylsulfates;"''plant fruit food product''	''legume food product''	''vegetable food product''	''coffee based beverage product''	''cacao food product''	''tea based beverage product''	''olive oil''	''Whole grain cereal products''	''nut (whole or part)''	''red wine''";;;;;;;"'20822599'";"'OUIKMDRGUNIXSP-UHFFFAOYSA-N'";"'InChI=1S/C8H8O6S/c1-13-8-4-6(5-9)2-3-7(8)14-15(10,11)12/h2-5H,1H3,(H,10,11,12)'";"'FOBI:030459'";;;;;;;;"'FOBI:030459'";;"'vanillin sulfate'";
'(epi)catechin 7-glucuronide';Class;'Flavonoid O-glucuronides';"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;;"'InChI=1S/C21H22O12/c22-10-2-1-7(3-12(10)24)18-13(25)6-9-11(23)4-8(5-14(9)32-18)31-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,13,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030462'";;;;;;;;"'FOBI:030462'";;"'(epi)catechin 7-glucuronide'";
'(epi)catechin 5-glucuronide';Class;'Flavonoid O-glucuronides';"''tea based beverage product''	''nut (whole or part)''	''red wine''	''cacao food product''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;;"'InChI=1S/C21H22O12/c22-8-4-13-9(6-12(25)18(31-13)7-1-2-10(23)11(24)3-7)14(5-8)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030463'";;;;;;;;"'FOBI:030463'";;"'(epi)catechin 5-glucuronide'";
'(epi)catechin 3-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;;"'InChI=1S/C21H22O12/c22-8-4-11(24)9-6-14(32-21-17(28)15(26)16(27)19(33-21)20(29)30)18(31-13(9)5-8)7-1-2-10(23)12(25)3-7/h1-5,14-19,21-28H,6H2,(H,29,30)'";"'FOBI:030464'";;;;;;;;"'FOBI:030464'";;"'(epi)catechin 3-glucuronide'";
'(epi)catechin 3'-glucuronide';Class;'Flavonoid O-glucuronides';"''red wine''	''nut (whole or part)''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;;"'InChI=1S/C21H22O12/c22-8-4-11(24)9-6-12(25)18(31-13(9)5-8)7-1-2-10(23)14(3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030465'";;;;;;;;"'FOBI:030465'";;"'(epi)catechin 3'-glucuronide'";
'(epi)catechin 4'-glucuronide';Class;'Flavonoid O-glucuronides';"''berry (whole, raw)''	''red wine''	''nut (whole or part)''	''cacao food product''	''tea based beverage product''	''apple (whole)''";;;;;;;;;"'InChI=1S/C21H22O12/c22-8-4-10(23)9-6-12(25)18(31-14(9)5-8)7-1-2-13(11(24)3-7)32-21-17(28)15(26)16(27)19(33-21)20(29)30/h1-5,12,15-19,21-28H,6H2,(H,29,30)'";"'FOBI:030466'";;;;;;;;"'FOBI:030466'";;"'(epi)catechin 4'-glucuronide'";
'(epi)catechin 7-sulfate';Class;Catechins;"''nut (whole or part)''	''berry (whole, raw)''	''red wine''	''tea based beverage product''	''cacao food product''	''apple (whole)''";;;;;;;;;"'InChI=1S/C15H14O10S/c16-10-2-1-7(3-12(10)18)15-13(19)6-9-11(17)4-8(5-14(9)23-15)24-25-26(20,21)22/h1-5,13,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030467'";;;;;;;;"'FOBI:030467'";;"'(epi)catechin 7-sulfate'";
'(epi)catechin 5-sulfate';Class;Catechins;"''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''	''cacao food product''	''tea based beverage product''	''red wine''";;;;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-13-9(14(5-8)24-25-26(20,21)22)6-12(19)15(23-13)7-1-2-10(17)11(18)3-7/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030468'";;;;;;;;"'FOBI:030468'";;"'(epi)catechin 5-sulfate'";
'(epi)catechin 3-sulfate';Class;Catechins;"''apple (whole)''	''berry (whole, raw)''	''tea based beverage product''	''cacao food product''	''red wine''	''nut (whole or part)''";;;;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-11(18)9-6-14(24-25-26(20,21)22)15(23-13(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,14-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030469'";;;;;;;;"'FOBI:030469'";;"'(epi)catechin 3-sulfate'";
'(epi)catechin 3'-sulfate';Class;Catechins;"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''";;;;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-11(18)9-6-12(19)15(23-13(9)5-8)7-1-2-10(17)14(3-7)24-25-26(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030470'";;;;;;;;"'FOBI:030470'";;"'(epi)catechin 3'-sulfate'";
'(epi)catechin 4'-sulfate';Class;Catechins;"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;;"'InChI=1S/C15H14O10S/c16-8-4-10(17)9-6-12(19)15(23-14(9)5-8)7-1-2-13(11(18)3-7)24-25-26(20,21)22/h1-5,12,15-19H,6H2,(H,20,21,22)/p-1'";"'FOBI:030471'";;;;;;;;"'FOBI:030471'";;"'(epi)catechin 4'-sulfate'";
4'-methylepicatechin;Class;Catechins;"''tea based beverage product''	''cacao food product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;"'14332898'";"'ZHDMPVIDHWJGTN-CZUORRHYSA-N'";"'InChI=1S/C16H16O6/c1-21-14-3-2-8(4-12(14)19)16-13(20)7-10-11(18)5-9(17)6-15(10)22-16/h2-6,13,16-20H,7H2,1H3/t13-,16-/m1/s1'";"'FOBI:030472'";;;;;;;;"'FOBI:030472'";;"'4'-methylepicatechin'";
3'-methylepicatechin;Class;Catechins;"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;"'BBDWMQGDVLQOSW-UHFFFAOYSA-N'";"'InChI=1S/C16H16O6/c1-16(21)7-10-12(19)5-9(17)6-14(10)22-15(16)8-2-3-11(18)13(20)4-8/h2-6,15,17-21H,7H2,1H3'";"'FOBI:030473'";;;;;;;;"'FOBI:030473'";;"'3'-methylepicatechin'";
epigallocatechin;Class;Epigallocatechins;"''red wine''	''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;"'65231'";;"'C12136'";"'72277'";"'XMOCLSLCDHWDHP-IUODEOHRSA-N'";"'InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1'";"'FOBI:030486'";;;;;;;;"'FOBI:030486'";;"'epigallocatechin'";
'epigallocatechin 3-glucuronide';Class;Flavonoid-3-O-glucuronides;"''red wine''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;"'101449862'";"'ZTOAOZDTXSRHIB-BBGDWMAASA-N'";"'InChI=1S/C21H22O13/c22-7-3-9(23)8-5-13(33-21-17(29)15(27)16(28)19(34-21)20(30)31)18(32-12(8)4-7)6-1-10(24)14(26)11(25)2-6/h1-4,13,15-19,21-29H,5H2,(H,30,31)/t13-,15+,16+,17-,18-,19+,21-/m1/s1'";"'FOBI:030487'";;;;;;;;"'FOBI:030487'";;"'epigallocatechin 3-glucuronide'";
'epigallocatechin 3-sulfate';Class;Flavan-3-ols;"''red wine''	''berry (whole, raw)''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''";;;;;;;;"'PFNBTZIECYHRTC-UHFFFAOYSA-N'";"'InChI=1S/C15H14O10S/c16-8-1-6-4-12(25-26(21,22)23)15(24-14(6)11(19)5-8)7-2-9(17)13(20)10(18)3-7/h1-3,5,12,15-20H,4H2,(H,21,22,23)'";"'FOBI:030488'";;;;;;;;"'FOBI:030488'";;"'epigallocatechin 3-sulfate'";
theaflavin;Class;Flavan-3-ols;"''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''	''red wine''	''cacao food product''	''tea based beverage product''";;;;"'17216345'";"'HMDB05788'";;"'22833651'";"'MKTFRRIBCBTOKJ-CRFHJIRQSA-N'";"'InChI=1S/C29H24O12/c30-12-4-17(32)14-8-20(35)28(40-22(14)6-12)11-1-10-2-16(25(37)27(39)24(10)26(38)19(34)3-11)29-21(36)9-15-18(33)5-13(31)7-23(15)41-29/h1-7,20-21,28-33,35-37,39H,8-9H2,(H,34,38)/t20-,21-,28-,29-/m1/s1'";"'FOBI:030491'";;;;;;;;"'FOBI:030491'";;"'theaflavin'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid';Class;'Medium-chain hydroxy acids and derivatives';"''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''";;;;;;;"'52920332'";"'JDBYFCLHVYVXCX-UHFFFAOYSA-N'";"'InChI=1S/C11H14O5/c12-8(2-4-11(15)16)5-7-1-3-9(13)10(14)6-7/h1,3,6,8,12-14H,2,4-5H2,(H,15,16)'";"'FOBI:030492'";;;;;;;;"'FOBI:030492'";;"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide';Class;Saccharolipids;"''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''red wine''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;"'BKJQCPDRWDNBIN-UHFFFAOYSA-N'";"'InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-9(19)10(6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)'";"'FOBI:030493'";;;;;;;;"'FOBI:030493'";;"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-glucuronide'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide';Class;Saccharolipids;"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;"'LLKUARGHNZMSRT-UHFFFAOYSA-N'";"'InChI=1S/C17H22O11/c18-8(2-4-11(20)21)5-7-1-3-10(9(19)6-7)27-17-14(24)12(22)13(23)15(28-17)16(25)26/h1,3,6,8,12-15,17-19,22-24H,2,4-5H2,(H,20,21)(H,25,26)'";"'FOBI:030494'";;;;;;;;"'FOBI:030494'";;"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-glucuronide'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate';Class;'Sulfated fatty acids';"''cacao food product''	''tea based beverage product''	''red wine''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;"'HROSNTXKMPHTSL-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-9(13)10(6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)'";"'FOBI:030495'";;;;;;;;"'FOBI:030495'";;"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 3'-sulfate'";
'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate';Class;Catechols;"''red wine''	''tea based beverage product''	''cacao food product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;;"'GSTPJGFSDIEVSY-UHFFFAOYSA-N'";"'InChI=1S/C11H14O8S/c12-8(2-4-11(14)15)5-7-1-3-10(9(13)6-7)19-20(16,17)18/h1,3,6,8,12-13H,2,4-5H2,(H,14,15)(H,16,17,18)'";"'FOBI:030496'";;;;;;;;"'FOBI:030496'";;"'4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid 4'-sulfate'";
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenolic glycosides';"''red wine''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''	''berry (whole, raw)''";;;;;;;;"'DPSUQBKEHXAIDY-YHNANPAJSA-N'";"'InChI=1S/C17H20O9/c18-11-5-4-10(24-11)7-8-2-1-3-9(6-8)25-17-14(21)12(19)13(20)15(26-17)16(22)23/h1-3,6,10,12-15,17,19-21H,4-5,7H2,(H,22,23)/t10?,12-,13-,14+,15-,17+/m0/s1'";"'FOBI:030497'";;;;;;;;"'FOBI:030497'";;"'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-glucuronide'";
'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;"''red wine''	''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;"'124202065'";"'DPRDYFJWDRNYAZ-UHFFFAOYSA-N'";"'InChI=1S/C11H12O6S/c12-11-5-4-9(16-11)6-8-2-1-3-10(7-8)17-18(13,14)15/h1-3,7,9H,4-6H2,(H,13,14,15)'";"'FOBI:030498'";;;;;;;;"'FOBI:030498'";;"'5-(3'-hydroxyphenyl)-γ-valerolactone 3'-sulfate'";
'5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate';Class;Phenylsulfates;"''berry (whole, raw)''	''red wine''	''tea based beverage product''	''cacao food product''	''nut (whole or part)''	''apple (whole)''";;;;;;;;"'HWTHTKOQADEPQM-UHFFFAOYSA-N'";"'InChI=1S/C11H12O6S/c12-11-6-5-10(16-11)7-8-1-3-9(4-2-8)17-18(13,14)15/h1-4,10H,5-7H2,(H,13,14,15)'";"'FOBI:030499'";;;;;;;;"'FOBI:030499'";;"'5-(4'-hydroxyphenyl)-γ-valerolactone 4'-sulfate'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone';Class;Catechols;"''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''cacao food product''	''red wine''	''berry (whole, raw)''";;;;"'134347'";;;"'152432'";"'ZNXXWTPQHVLMQT-UHFFFAOYSA-N'";"'InChI=1S/C11H12O4/c12-9-3-1-7(6-10(9)13)5-8-2-4-11(14)15-8/h1,3,6,8,12-13H,2,4-5H2'";"'FOBI:030500'";;;;;;;;"'FOBI:030500'";;"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide';Class;'Phenol ethers';"''tea based beverage product''	''nut (whole or part)''	''cacao food product''	''red wine''	''berry (whole, raw)''	''apple (whole)''";;;;;;;;"'RALBOGKBFZBDKY-UHFFFAOYSA-N'";"'InChI=1S/C18H22O10/c19-9-3-1-7(5-8-2-4-11(20)27-8)6-10(9)28-17-12(18(25)26)13(21)14(22)15(23)16(17)24/h1,3,6,8,12-17,19,21-24H,2,4-5H2,(H,25,26)'";"'FOBI:030501'";;;;;;;;"'FOBI:030501'";;"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-glucuronide'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide';Class;'Phenolic glycosides';"''tea based beverage product''	''cacao food product''	''berry (whole, raw)''	''red wine''	''apple (whole)''	''nut (whole or part)''";;;;;;;"'124202077'";"'OTBJYBQGMPICIK-GHPVWUPISA-N'";"'InChI=1S/C17H20O10/c18-9-6-7(5-8-2-4-11(19)25-8)1-3-10(9)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h1,3,6,8,12-15,17-18,20-22H,2,4-5H2,(H,23,24)/t8?,12-,13-,14+,15-,17+/m1/s1'";"'FOBI:030502'";;;;;;;;"'FOBI:030502'";;"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 4'-glucuronide'";
'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate';Class;Phenylsulfates;"''tea based beverage product''	''cacao food product''	''apple (whole)''	''red wine''	''nut (whole or part)''	''berry (whole, raw)''";;;;;;;;"'YAXFVDUJDAQPTJ-UHFFFAOYSA-N'";"'InChI=1S/C11H12O7S/c12-9-3-1-7(5-8-2-4-11(13)17-8)6-10(9)18-19(14,15)16/h1,3,6,8,12H,2,4-5H2,(H,14,15,16)'";"'FOBI:030503'";;;;;;;;"'FOBI:030503'";;"'5-(3',4'-dihydroxyphenyl)-γ-valerolactone 3'-sulfate'";
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide';Class;'Phenolic glycosides';"''cacao food product''	''tea based beverage product''	''apple (whole)''	''nut (whole or part)''	''red wine''	''berry (whole, raw)''";;;;;;;"'124202085'";"'RUSMDDXSDLDLKU-PHPHFFAHSA-N'";"'InChI=1S/C17H20O10/c18-8-3-7(4-9-1-2-11(19)25-9)5-10(6-8)26-17-14(22)12(20)13(21)15(27-17)16(23)24/h3,5-6,9,12-15,17-18,20-22H,1-2,4H2,(H,23,24)/t9?,12-,13-,14+,15-,17+/m0/s1'";"'FOBI:030504'";;;;;;;;"'FOBI:030504'";;"'5-(3',5'-dihydroxyphenyl)-γ-valerolactone glucuronide'";
'5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate';Class;Phenylsulfates;"''cacao food product''	''tea based beverage product''	''nut (whole or part)''	''berry (whole, raw)''	''red wine''	''apple (whole)''";;;;;;;;"'CVGUPVHDNVLHLW-UHFFFAOYSA-N'";"'InChI=1S/C11H12O7S/c12-8-3-7(4-9-1-2-11(13)17-9)5-10(6-8)18-19(14,15)16/h3,5-6,9,12H,1-2,4H2,(H,14,15,16)'";"'FOBI:030505'";;;;;;;;"'FOBI:030505'";;"'5-(3',5'-dihydroxyphenyl)-γ-valerolactone sulfate'";
