Entity,Type,Superclass(es),http://purl.obolibrary.org/obo/FOBI_00422,http://purl.obolibrary.org/obo/FOBI_00423,http://purl.obolibrary.org/obo/FOBI_00424,http://purl.obolibrary.org/obo/FOBI_00425,http://purl.obolibrary.org/obo/FOBI_040232,http://purl.obolibrary.org/obo/FOBI_040233,http://purl.obolibrary.org/obo/FOBI_040235,http://purl.obolibrary.org/obo/FOBI_040236,http://purl.obolibrary.org/obo/FOBI_040237,http://purl.obolibrary.org/obo/FOBI_040238,http://purl.obolibrary.org/obo/FOBI_043480,http://purl.obolibrary.org/obo/IAO_0000114,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.obolibrary.org/obo/IAO_0000118,http://purl.obolibrary.org/obo/IAO_0000119,http://purl.obolibrary.org/obo/IAO_0000412,http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,http://www.w3.org/2000/01/rdf-schema#label,
http://purl.obolibrary.org/obo/FOODON_00003269,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''cheese food product''	''black pepper food product''	'butter'	'flour'	''cow milk (fluid)''	''ham food product''",,,,,,,,"'FOBI:007930'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A baked or fried boiled ham and cheese sandwich.'","'croc monsieur'","'https://en.wikipedia.org/wiki/Croque_monsieur'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'Croque monsieur'",
http://purl.obolibrary.org/obo/FOODON_00003270,Class,http://purl.obolibrary.org/obo/FOODON_03411136,,,,,,,,,,,"'FOBI:0212'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A cut of pork popular in Western and Asian cuisines. The ribcage of a domestic pig, meat and bones together, is cut into usable pieces, prepared by smoking, grilling, or baking – usually with a sauce, often barbecue – and then served.'","'ribs'","'https://en.wikipedia.org/wiki/Pork_ribs'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'pork ribs'",
http://purl.obolibrary.org/obo/FOODON_00003271,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"''meat food product''	''vegetable food product''	'flour'",,,,,,,,"'FOBI:007942'",,"'A Tex-Mex and Mexican cuisine dish usually served as a taco on a flour or corn tortilla, with toppings including cooked skirt steak or other cuts of beef, chicken, as well as vegetables instead of meat.  In restaurants, the meat is usually cooked with onions and bell peppers.'","'fajitas'","'https://en.wikipedia.org/wiki/Fajita'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'fajita'",
http://purl.obolibrary.org/obo/FOODON_00003272,Class,http://purl.obolibrary.org/obo/FOBI_040223,,,"'chicken'	''ham food product''	''cheese food product''",,,,,,,,"'FOBI:007929'","'http://purl.obolibrary.org/obo/IAO_0000122'","'A dish of meat wrapped around cheese (or with cheese filling), then breaded and pan-fried or deep-fried.'","'cordon bleu'","'https://en.wikipedia.org/wiki/Cordon_bleu_(dish)'","'http://purl.obolibrary.org/obo/foodon.owl'",,"'cordon bleu (dish)'",
http://purl.obolibrary.org/obo/FOODON_00003274,Class,http://purl.obolibrary.org/obo/FOODON_00001139,,,,,,,,,,,"'FOBI:07544'",,,,,,,"'black coffee'",
http://purl.obolibrary.org/obo/FOODON_00003275,Class,http://purl.obolibrary.org/obo/FOODON_03310635,,,"''white sugar''	''coffee based beverage product''	''cream cheese''	'cocoa'	''hen egg (whole)''	''biscuit (hard) food product''",,,,,,,,"'FOBI:08720'",,,,,,,"'tiramisu'",
http://purl.obolibrary.org/obo/FOODON_00003276,Class,http://purl.obolibrary.org/obo/FOODON_03310635,,,"'butter'	'flour'	'beetroot'	''white sugar''	'cocoa'",,,,,,,,"'FOBI:07590'",,,,,,,"'red velvet'",
http://purl.obolibrary.org/obo/FOODON_00003277,Class,http://purl.obolibrary.org/obo/FOODON_00001138,,,,,,,,,,,"'FOBI:0031'",,,,,,,"'red tea'",
http://purl.obolibrary.org/obo/FOODON_00003278,Class,http://purl.obolibrary.org/obo/FOBI_040222,,,"''potato (whole, raw)''	''cheese food product''",,,,,,,,"'FOBI:007961'",,,,,,,"'raclette'",
http://purl.obolibrary.org/obo/FOODON_00003280,Class,http://purl.obolibrary.org/obo/FOODON_00002257,,,"''vegetable food product''",,,,,,,,"'FOBI:007969'",,,,,,,"'soup'",
